Id,Adult,Ages,ColleagueSatisfaction,CompaniesWorkedCount,CompanyDuration,Division,DurationWithCurrManager,EducationBackground,EducationField,HomeDist,JobEngagement,JobLvl,LastPromotion,MarriageStatus,MonthlyPay,Outstation,Performance,Role,RoleDuration,SalaryIncreaseRate,Sex,StockOptionLvl,TrainingCount,WorkLifeQuality,WorkOverTime,WorkSatisfaction,WorkingDuration,WorkingHours,WorkplaceSatisfaction,Resigned
71,Y,26,Low,4.0,0.0,Sales,0,Secondary,Medical,24.0,High,2,0,Divorced,3672.0,rare,High,Sales Executive,0,12,Male,2.0,4,Better,No,High,7,80,Low,0
72,Y,45,Medium,0.0,8.0,Human Resources,9,Bachelor,Life Sciences,1.0,High,1,0,Single,4228.0,rare,High,Human Resources,7,14,Male,,4,Better,No,Very High,9,80,Medium,0
73,Y,44,Medium,7.0,4.0,Research & Development,4,Bachelor,Medical,9.0,High,1,0,Divorced,7074.0,rare,Very High,Laboratory Technician,3,26,Male,3.0,4,Good,No,Medium,6,80,Medium,0
74,Y,42,High,6.0,18.0,Research & Development,14,Bachelor,Life Sciences,5.0,High,4,3,Single,15360.0,rare,High,Manufacturing Director,6,17,Female,0.0,2,Better,No,High,20,80,Medium,0
75,Y,54,Low,3.0,26.0,Sales,10,Bachelor,Life Sciences,8.0,High,5,7,Divorced,14512.0,frequent,Very High,Manager,11,29,Male,1.0,4,Good,Yes,Medium,28,80,Very High,0
76,Y,30,High,5.0,8.0,Research & Development,8,Master,Technical Degree,1.0,Medium,1,0,Single,6069.0,rare,High,Research Scientist,7,14,,0.0,1,Bad,No,Low,10,80,Low,1
77,Y,57,Very High,5.0,18.0,Research & Development,8,Bachelor,Medical,1.0,High,4,8,Single,4678.0,rare,High,Research Director,7,22,Female,0.0,2,Good,No,Very High,26,80,Very High,0
78,Y,33,Very High,2.0,3.0,Research & Development,2,Master,Other,4.0,Very High,1,0,Married,14212.0,rare,High,Research Scientist,2,19,Female,2.0,2,Better,No,Very High,5,80,Medium,0
79,Y,34,High,4.0,4.0,Research & Development,4,Bachelor,Medical,11.0,High,1,0,Married,16656.0,rare,High,Laboratory Technician,4,14,Male,1.0,1,Bad,Yes,Very High,7,80,High,1
80,Y,44,Very High,0.0,18.0,Research & Development,10,Primary,Life Sciences,1.0,High,4,1,Married,19875.0,no travel,High,Manager,8,14,Male,0.0,2,Good,Yes,High,19,80,High,0
81,Y,36,Very High,0.0,3.0,Research & Development,2,Primary,Life Sciences,5.0,High,1,1,Married,4945.0,rare,High,Research Scientist,2,15,Male,0.0,2,Better,Yes,High,3,80,High,0
82,Y,48,Very High,5.0,9.0,Research & Development,10,Master,Life Sciences,10.0,High,2,0,Single,7615.0,rare,High,Healthcare Representative,7,15,Male,0.0,2,Better,No,Medium,17,80,High,0
83,Y,53,Medium,3.0,3.0,Research & Development,2,Bachelor,Life Sciences,23.0,High,4,0,Married,16855.0,rare,High,Research Director,2,11,Female,0.0,1,Better,Yes,Low,23,80,Very High,0
84,Y,35,Very High,2.0,0.0,Research & Development,0,Master,Life Sciences,2.0,Medium,1,0,Married,16895.0,no travel,High,Research Scientist,0,19,Male,3.0,1,Better,No,Very High,5,80,High,0
85,Y,25,High,5.0,2.0,Research & Development,2,Primary,Other,1.0,High,1,0,Divorced,5873.0,rare,High,Laboratory Technician,2,22,Male,1.0,1,Good,Yes,High,6,80,Very High,0
86,Y,37,High,6.0,,Research & Development,9,Master,Life Sciences,20.0,High,2,0,Married,5604.0,no travel,High,Laboratory Technician,8,17,Female,1.0,2,Better,No,Medium,10,80,Medium,0
87,Y,29,Very High,6.0,6.0,Research & Development,8,Secondary,Life Sciences,1.0,Low,1,2,Single,3385.0,rare,High,Research Scientist,7,14,Female,0.0,3,Better,Yes,Medium,9,80,Low,1
88,Y,37,Very High,1.0,16.0,Sales,12,Secondary,Life Sciences,1.0,High,2,2,Married,2624.0,rare,High,Sales Executive,15,15,Male,1.0,0,Good,Yes,Very High,16,80,Medium,0
89,Y,21,High,1.0,3.0,Sales,2,Primary,Technical Degree,18.0,High,1,0,Single,18323.0,rare,High,Sales Representative,2,11,Male,0.0,1,Better,No,High,3,80,High,0
90,Y,31,High,0.0,7.0,Research & Development,8,Secondary,Life Sciences,7.0,Very High,3,0,Married,13500.0,rare,High,Research Director,7,12,Female,3.0,3,Good,Yes,Low,8,80,Medium,0
91,Y,43,Low,2.0,4.0,Research & Development,0,Bachelor,Life Sciences,1.0,High,1,0,Married,16121.0,rare,Very High,Research Scientist,3,26,Male,1.0,2,Better,No,Very High,11,80,Very High,0
92,Y,57,Low,6.0,4.0,Research & Development,4,Master,Life Sciences,1.0,High,3,0,Divorced,7587.0,frequent,High,Manufacturing Director,4,19,Female,1.0,1,Bad,No,High,30,80,Very High,0
93,Y,37,Very High,3.0,7.0,Research & Development,8,Bachelor,Technical Degree,2.0,High,2,4,Single,19659.0,rare,High,Research Scientist,0,12,Male,0.0,1,Better,No,Medium,9,80,High,0
94,Y,49,Low,0.0,6.0,Sales,8,Secondary,Marketing,1.0,High,2,4,Married,13486.0,rare,Very High,Sales Executive,6,26,Female,1.0,1,Better,Yes,Very High,7,80,High,0
95,Y,27,Very High,0.0,4.0,Research & Development,1,Master,Medical,2.0,Medium,1,0,Single,11592.0,rare,High,Research Scientist,2,14,Male,0.0,0,Better,No,Very High,4,80,Low,0
96,Y,60,Low,0.0,11.0,Research & Development,9,Secondary,Life Sciences,1.0,Very High,2,1,Married,2550.0,rare,Very High,Research Scientist,10,29,Male,1.0,1,Good,No,High,12,80,Medium,0
97,Y,24,Low,8.0,2.0,Sales,0,Secondary,Life Sciences,2.0,High,2,1,Single,18570.0,rare,High,Sales Executive,2,15,Female,0.0,2,Better,No,High,3,80,Low,1
98,Y,44,Very High,3.0,2.0,Research & Development,0,Secondary,Other,4.0,High,1,1,Married,7298.0,frequent,High,Laboratory Technician,2,19,Male,1.0,3,Better,No,High,7,80,Medium,0
99,Y,48,High,2.0,8.0,Research & Development,8,Secondary,Life Sciences,1.0,High,3,2,Divorced,15088.0,rare,High,Manufacturing Director,8,15,Male,1.0,3,Good,No,Very High,11,80,Very High,0
100,Y,43,Low,2.0,,Research & Development,0,Master,Life Sciences,9.0,High,1,0,Married,7146.0,rare,High,Laboratory Technician,0,11,Male,1.0,3,Better,Yes,Very High,5,80,Medium,0
101,Y,33,High,5.0,3.0,Research & Development,2,Bachelor,Life Sciences,1.0,Medium,1,0,Married,3460.0,no travel,Very High,Laboratory Technician,0,24,Female,0.0,2,Better,No,Medium,4,80,High,0
102,Y,21,High,1.0,3.0,Sales,2,Secondary,Medical,8.0,High,1,1,Single,2644.0,no travel,Very High,Sales Representative,2,29,Male,0.0,2,Good,No,Very High,3,80,Low,0
103,Y,33,Medium,3.0,5.0,Research & Development,2,Master,Technical Degree,1.0,High,2,0,Married,18853.0,no travel,High,Research Scientist,5,15,Male,1.0,2,Good,No,Low,8,80,Very High,0
104,Y,54,Very High,2.0,2.0,Research & Development,2,Bachelor,Technical Degree,2.0,High,3,1,Married,17263.0,rare,High,Manager,2,11,Female,0.0,1,Better,No,High,13,80,Low,0
105,Y,30,High,1.0,9.0,Research & Development,2,Primary,Medical,7.0,Medium,2,0,Married,13418.0,rare,High,Manufacturing Director,7,17,Male,1.0,1,Good,Yes,Very High,9,80,Medium,0
106,Y,52,Very High,6.0,6.0,Research & Development,8,Secondary,Technical Degree,1.0,Medium,4,0,Single,13506.0,rare,High,Healthcare Representative,1,12,Female,0.0,1,Better,Yes,High,23,80,High,0
107,Y,42,Medium,1.0,19.0,Sales,9,Master,Medical,6.0,High,5,8,Single,3732.0,rare,High,Manager,8,15,Male,0.0,2,Good,No,Medium,19,80,Medium,0
108,Y,48,High,2.0,1.0,Research & Development,0,Master,Medical,6.0,High,2,0,Married,12224.0,no travel,High,Manufacturing Director,0,15,Female,0.0,1,Best,No,High,6,80,High,0
109,Y,41,Low,0.0,,Research & Development,8,Bachelor,Medical,1.0,Very High,3,2,Divorced,8519.0,rare,High,Healthcare Representative,11,19,Male,3.0,4,Good,No,Very High,17,80,High,0
110,Y,30,Very High,7.0,6.0,Research & Development,6,Primary,Life Sciences,24.0,Low,2,0,Divorced,15926.0,rare,High,Healthcare Representative,0,19,Male,,2,Better,No,High,10,80,Very High,0
111,Y,58,High,1.0,32.0,Sales,14,Doctorate,Marketing,22.0,Medium,5,1,Married,17301.0,rare,Very High,Manager,6,25,Male,1.0,2,Better,No,Very High,33,80,High,0
112,Y,29,Low,4.0,4.0,Research & Development,3,Bachelor,Technical Degree,14.0,Medium,1,0,Divorced,14209.0,rare,High,Laboratory Technician,1,12,Male,1.0,1,Good,No,Very High,5,80,High,1
113,Y,29,Medium,,3.0,Research & Development,2,Bachelor,Technical Degree,1.0,High,1,0,Single,4010.0,rare,High,Research Scientist,2,11,Male,0.0,1,Good,No,Low,4,80,Very High,0
114,Y,24,Medium,1.0,5.0,Research & Development,2,Primary,Medical,24.0,High,1,0,Divorced,3204.0,rare,High,Laboratory Technician,2,14,Male,3.0,1,Best,No,Low,5,80,Medium,0
115,Y,38,High,2.0,1.0,Sales,0,Master,Life Sciences,8.0,Medium,2,0,Divorced,18162.0,rare,High,Sales Executive,0,15,Female,3.0,4,Better,Yes,Very High,7,80,Very High,0
116,Y,61,Very High,1.0,2.0,Research & Development,2,Master,Life Sciences,19.0,High,1,1,Divorced,19508.0,rare,High,Research Scientist,2,12,Male,2.0,2,Better,No,High,2,80,Low,0
117,Y,32,Medium,2.0,,Research & Development,2,Master,Life Sciences,8.0,High,1,0,Married,11372.0,rare,High,Research Scientist,4,22,Male,1.0,1,Better,Yes,Very High,7,80,Very High,0
118,Y,37,High,1.0,10.0,Research & Development,8,Bachelor,Technical Degree,2.0,High,1,0,Married,7295.0,frequent,High,Research Scientist,11,12,Male,0.0,1,Good,No,Medium,11,80,High,0
119,Y,38,Very High,1.0,9.0,Sales,10,Secondary,Medical,15.0,High,3,0,,4069.0,no travel,High,Sales Executive,0,14,Male,0.0,1,Better,Yes,Medium,9,80,Low,0
120,Y,39,Very High,1.0,4.0,Research & Development,3,Bachelor,Life Sciences,6.0,Very High,1,0,Divorced,12009.0,frequent,High,Research Scientist,2,11,Male,,1,Better,No,High,3,80,Very High,0
121,Y,32,Very High,0.0,2.0,Research & Development,2,Master,Life Sciences,8.0,Medium,1,1,Single,6057.0,rare,High,Research Scientist,2,18,Male,0.0,4,Better,Yes,Medium,3,80,High,0
122,Y,27,Medium,8.0,2.0,Research & Development,2,Master,Technical Degree,13.0,High,1,1,Married,9350.0,rare,High,Laboratory Technician,2,15,Female,1.0,1,Better,No,Medium,3,80,High,0
123,Y,32,Very High,1.0,5.0,Research & Development,1,Secondary,Medical,8.0,High,2,0,Married,12982.0,rare,High,Healthcare Representative,5,12,Male,0.0,1,Good,Yes,Low,5,80,High,0
124,Y,37,High,,4.0,Research & Development,3,Secondary,Medical,19.0,Very High,2,0,Married,9498.0,frequent,High,Laboratory Technician,2,19,Male,1.0,2,Better,No,Very High,15,80,High,0
125,Y,47,High,1.0,19.0,Research & Development,6,Secondary,Technical Degree,23.0,Medium,4,5,Single,13004.0,rare,High,Research Director,6,11,Female,0.0,1,Better,No,Medium,19,80,Very High,0
126,Y,29,Very High,1.0,1.0,Research & Development,0,Primary,Life Sciences,9.0,High,1,0,Married,17242.0,rare,High,Laboratory Technician,1,11,Female,0.0,3,Good,Yes,Very High,1,80,High,1
127,Y,50,High,4.0,1.0,Research & Development,0,Secondary,Technical Degree,1.0,Very High,1,0,Single,12642.0,rare,High,Laboratory Technician,0,11,Male,0.0,3,Good,No,Medium,6,80,Very High,0
128,Y,38,Low,1.0,7.0,Research & Development,8,Bachelor,Life Sciences,17.0,Very High,1,0,Married,17258.0,rare,High,Research Scientist,7,12,Male,1.0,2,Good,Yes,Low,7,80,Medium,0
129,Y,30,Very High,1.0,10.0,Sales,1,Primary,Medical,1.0,High,3,2,Married,5366.0,frequent,High,Sales Executive,11,15,Female,1.0,4,Better,No,Very High,10,80,Medium,0
130,Y,34,High,3.0,3.0,Research & Development,2,Bachelor,Life Sciences,4.0,Medium,3,0,Divorced,15977.0,rare,High,Healthcare Representative,2,17,Male,1.0,1,Better,No,Very High,8,80,Very High,0
131,Y,47,Low,1.0,,Research & Development,10,Secondary,Other,1.0,Medium,2,2,Divorced,4486.0,rare,High,Manufacturing Director,7,22,Female,2.0,2,Better,No,Very High,9,80,Very High,0
132,Y,30,Low,4.0,4.0,Sales,0,Bachelor,Technical Degree,10.0,High,2,0,Single,13270.0,frequent,High,Sales Executive,3,11,Female,0.0,3,Bad,No,Medium,6,80,Low,1
133,Y,37,Low,1.0,14.0,Sales,8,Primary,Life Sciences,2.0,Medium,3,2,Married,4581.0,rare,High,Sales Executive,7,11,Male,1.0,4,Better,Yes,Very High,14,80,High,1
134,Y,30,Very High,1.0,9.0,Sales,10,Bachelor,Marketing,23.0,High,3,0,Married,18382.0,rare,Very High,Sales Executive,4,26,Female,3.0,2,Good,No,Very High,9,80,Medium,1
135,Y,63,Very High,4.0,5.0,Sales,6,Bachelor,Life Sciences,2.0,Medium,2,0,Single,12547.0,rare,High,Sales Executive,1,19,Female,0.0,1,Better,No,Very High,12,80,High,0
136,Y,50,Medium,,20.0,Research & Development,8,Bachelor,Medical,18.0,High,4,2,,2344.0,frequent,High,Manager,19,11,Female,1.0,2,Better,No,Very High,22,80,Very High,0
